# exported by fityk 0.8.7
#5-Zn-EdelStahl:x	5-Zn-EdelStahl:y	5-Zn-EdelStahl:s	5-Zn-EdelStahl:F(x)	5-Zn-EdelStahl:%_1(x)	5-Zn-EdelStahl:%_2(x)	5-Zn-EdelStahl:%_3(x)	5-Zn-EdelStahl:a
3.42	24	4.89898	8.28566e-014	1.22021e-087	4.83874e-153	8.28566e-014	1
3.43	28	5.2915	1.05352e-013	2.73559e-087	1.55403e-152	1.05352e-013	1
3.45	29	5.38516	1.69912e-013	1.36849e-086	1.59379e-151	1.69912e-013	1
3.47	28	5.2915	2.73156e-013	6.80319e-086	1.62212e-150	2.73156e-013	1
3.48	21	4.58258	3.45924e-013	1.51331e-085	5.16018e-150	3.45924e-013	1
3.5	12	3.4641	5.53445e-013	7.45272e-085	5.1921e-149	5.53445e-013	1
3.51	23	4.79583	6.99194e-013	1.65001e-084	1.64225e-148	6.99194e-013	1
3.53	25	5	1.11327e-012	8.04994e-084	1.63358e-147	1.11327e-012	1
3.54	27	5.19615	1.40306e-012	1.77388e-083	5.13746e-147	1.40306e-012	1
3.56	26	5.09902	2.22323e-012	8.57327e-083	5.05216e-146	2.22323e-012	1
3.58	30	5.47723	3.51153e-012	4.11763e-082	4.93047e-145	3.51153e-012	1
3.59	21	4.58258	4.40788e-012	9.00278e-082	1.53586e-144	4.40788e-012	1
3.61	35	5.91608	6.92866e-012	4.28346e-081	1.48179e-143	6.92866e-012	1
3.62	31	5.56776	8.67632e-012	9.32143e-081	4.58947e-143	8.67632e-012	1
3.64	24	4.89898	1.35726e-011	4.39357e-080	4.37748e-142	1.35726e-011	1
3.66	26	5.09902	2.11638e-011	2.05793e-079	4.14352e-141	2.11638e-011	1
3.67	31	5.56776	2.63959e-011	4.44342e-079	1.27116e-140	2.63959e-011	1
3.69	31	5.56776	4.09613e-011	2.06181e-078	1.18951e-139	4.09613e-011	1
3.7	20	4.47214	5.09648e-011	4.43091e-078	3.62837e-139	5.09648e-011	1
3.72	22	4.69042	7.87074e-011	2.03676e-077	3.35666e-138	7.87074e-011	1
3.73	20	4.47214	9.76933e-011	4.35657e-077	1.01803e-137	9.76933e-011	1
3.75	25	5	1.50147e-010	1.98385e-076	9.31069e-137	1.50147e-010	1
3.77	24	4.89898	2.30025e-010	8.97746e-076	8.45058e-136	2.30025e-010	1
3.78	28	5.2915	2.84367e-010	1.90526e-075	2.5386e-135	2.84367e-010	1
3.8	17	4.12311	4.33554e-010	8.54114e-075	2.27785e-134	4.33554e-010	1
3.81	27	5.19615	5.3469e-010	1.80416e-074	6.80371e-134	5.3469e-010	1
3.83	24	4.89898	8.11285e-010	8.01224e-074	6.03532e-133	8.11285e-010	1
3.85	27	5.19615	1.22701e-009	3.53599e-073	5.31299e-132	1.22701e-009	1
3.86	18	4.24264	1.50718e-009	7.41086e-073	1.57186e-131	1.50718e-009	1
3.88	21	4.58258	2.26854e-009	3.23998e-072	1.36797e-130	2.26854e-009	1
3.89	30	5.47723	2.77981e-009	6.75864e-072	4.02407e-130	2.77981e-009	1
3.91	33	5.74456	4.16394e-009	2.92719e-071	3.46222e-129	4.16394e-009	1
3.92	30	5.47723	5.0901e-009	6.07751e-071	1.01264e-128	5.0901e-009	1
3.94	30	5.47723	7.58792e-009	2.60756e-070	8.61329e-128	7.58792e-009	1
3.96	23	4.79583	1.12752e-008	1.11179e-069	7.27053e-127	1.12752e-008	1
3.97	33	5.74456	1.37278e-008	2.29031e-069	2.1063e-126	1.37278e-008	1
3.99	28	5.2915	2.03007e-008	9.67384e-069	1.7577e-125	2.03007e-008	1
4	18	4.24264	2.46571e-008	1.98349e-068	5.06304e-125	2.46571e-008	1
4.02	30	5.47723	3.62875e-008	8.2995e-068	4.17695e-124	3.62875e-008	1
4.04	26	5.09902	5.32325e-008	3.45106e-067	3.41972e-123	5.32325e-008	1
4.05	26	5.09902	6.43968e-008	7.02072e-067	9.7569e-123	6.43968e-008	1
4.07	24	4.89898	9.40138e-008	2.892e-066	7.89711e-122	9.40138e-008	1
4.08	25	5	1.13457e-007	5.85581e-066	2.24028e-121	1.13457e-007	1
4.1	28	5.2915	1.64841e-007	2.38958e-065	1.7926e-120	1.64841e-007	1
4.11	25	5	1.98454e-007	4.8158e-065	5.05628e-120	1.98454e-007	1
4.13	30	5.47723	2.86947e-007	1.9468e-064	3.9998e-119	2.86947e-007	1
4.15	41	6.40312	4.13568e-007	7.82079e-064	3.13999e-118	4.13568e-007	1
4.16	27	5.19615	4.95903e-007	1.56385e-063	8.77262e-118	4.95903e-007	1
4.18	33	5.74456	7.11295e-007	6.22362e-063	6.80839e-117	7.11295e-007	1
4.19	26	5.09902	8.50851e-007	1.23864e-062	1.89129e-116	8.50851e-007	1
4.21	29	5.38516	1.21454e-006	4.88328e-062	1.45111e-115	1.21454e-006	1
4.23	41	6.40312	1.72814e-006	1.91317e-061	1.1049e-114	1.72814e-006	1
4.24	38	6.16441	2.05891e-006	3.77794e-061	3.04012e-114	2.05891e-006	1
4.26	40	6.32456	2.91547e-006	1.46628e-060	2.28844e-113	2.91547e-006	1
4.27	33	5.74456	3.46515e-006	2.88188e-060	6.26068e-113	3.46515e-006	1
4.29	49	7	4.88315e-006	1.10804e-059	4.65903e-112	4.88315e-006	1
4.3	30	5.47723	5.78984e-006	2.16757e-059	1.26733e-111	5.78984e-006	1
4.32	38	6.16441	8.11993e-006	8.25596e-059	9.3237e-111	8.11993e-006	1
4.34	34	5.83095	1.13512e-005	3.12494e-058	6.80725e-110	1.13512e-005	1
4.35	35	5.91608	1.34049e-005	6.06537e-058	1.83408e-109	1.34049e-005	1
4.37	33	5.74456	1.86493e-005	2.2743e-057	1.32382e-108	1.86493e-005	1
4.38	36	6	2.19704e-005	4.39363e-057	3.5464e-108	2.19704e-005	1
4.4	41	6.40312	3.04188e-005	1.63204e-056	2.53059e-107	3.04188e-005	1
4.42	34	5.83095	4.19809e-005	6.02447e-056	1.792e-106	4.19809e-005	1
4.43	37	6.08276	4.92587e-005	1.15476e-055	4.75502e-106	4.92587e-005	1
4.45	45	6.7082	6.76548e-005	4.22275e-055	3.32885e-105	6.76548e-005	1
4.46	41	6.40312	7.91924e-005	8.05613e-055	8.78257e-105	7.91924e-005	1
4.48	58	7.61577	0.000108245	2.91842e-054	6.07839e-104	0.000108245	1
4.49	45	6.7082	0.0001264	5.54163e-054	1.59452e-103	0.0001264	1
4.51	43	6.55744	0.000171939	1.98873e-053	1.09099e-102	0.000171939	1
4.53	38	6.16441	0.000233137	7.09241e-053	7.40793e-102	0.000233137	1
4.54	43	6.55744	0.000271147	1.33623e-052	1.92482e-101	0.000271147	1
4.56	44	6.63325	0.000365887	4.7208e-052	1.29209e-100	0.000365887	1
4.57	37	6.08276	0.000424516	8.85242e-052	3.3381e-100	0.000424516	1
4.59	35	5.91608	0.00057009	3.09823e-051	2.21526e-099	0.00057009	1
4.6	32	5.65685	0.000659849	5.78255e-051	5.69042e-099	0.000659849	1
4.62	32	5.65685	0.000881862	2.00488e-050	3.73332e-098	0.000881862	1
4.64	35	5.91608	0.00117479	6.90773e-050	2.43069e-097	0.00117479	1
4.65	40	6.32456	0.00135431	1.2792e-049	6.18449e-097	0.00135431	1
