# exported by fityk 0.8.7
#2-Fe:x	2-Fe:y	2-Fe:s	2-Fe:F(x)	2-Fe:%_4(x)	2-Fe:%_5(x)	2-Fe:a
5.33	46	6.78233	0.103065	0.103065	1.21508e-016	1
5.35	33	5.74456	0.150804	0.150804	3.18714e-016	1
5.36	31	5.56776	0.181921	0.181921	5.14047e-016	1
5.38	59	7.68115	0.26331	0.26331	1.32623e-015	1
5.4	37	6.08276	0.378359	0.378359	3.38413e-015	1
5.41	34	5.83095	0.452318	0.452318	5.38353e-015	1
5.43	46	6.78233	0.642928	0.642928	1.35119e-014	1
5.44	34	5.83095	0.764438	0.764438	2.13181e-014	1
5.46	50	7.07107	1.07484	1.07484	5.26283e-014	1
5.48	46	6.78233	1.50037	1.50037	1.285e-013	1
5.49	37	6.08276	1.76785	1.76785	1.99964e-013	1
5.51	45	6.7082	2.44107	2.44107	4.80241e-013	1
5.52	37	6.08276	2.86068	2.86068	7.41169e-013	1
5.54	49	7	3.90739	3.90739	1.75083e-012	1
5.55	46	6.78233	4.55423	4.55423	2.67987e-012	1
5.57	53	7.28011	6.15338	6.15338	6.22676e-012	1
5.59	56	7.48331	8.25404	8.25404	1.43095e-011	1
5.6	36	6	9.53374	9.53374	2.16029e-011	1
5.62	43	6.55744	12.6502	12.6502	4.88309e-011	1
5.63	65	8.06226	14.5323	14.5323	7.31125e-011	1
5.65	43	6.55744	19.0744	19.0744	1.62554e-010	1
5.67	70	8.3666	24.8554	24.8554	3.5745e-010	1
5.68	60	7.74597	28.296	28.296	5.27873e-010	1
5.7	83	9.11043	36.4734	36.4734	1.14174e-009	1
5.71	88	9.38083	41.2973	41.2973	1.67222e-009	1
5.73	76	8.7178	52.6568	52.6568	3.55758e-009	1
5.74	88	9.38083	59.2981	59.2981	5.16762e-009	1
5.76	91	9.53939	74.7919	74.7919	1.08136e-008	1
5.78	137	11.7047	93.6532	93.6532	2.23804e-008	1
5.79	133	11.5326	104.515	104.515	3.20642e-008	1
5.81	156	12.49	129.457	129.457	6.52736e-008	1
