#x, y, a, F(x), F[0](x), F[1](x)
693 253 1 266.032 0 0
694 288 1 266.257 0 0
695 259 1 266.482 0 0
696 287 1 266.707 0 0
697 264 1 266.932 0 0
698 245 1 267.156 0 0
699 248 1 267.381 0 0
700 278 1 267.605 0 0
701 252 1 267.829 0 0
702 270 1 268.053 0 0
703 244 1 268.277 0 0
704 271 1 268.501 0 0
705 263 1 268.724 0 0
706 268 1 268.948 0 0
707 283 1 269.171 0 0
708 275 1 269.394 0 0
709 294 1 269.617 0 0
710 263 1 269.839 0 0
711 266 1 270.062 0 0
712 285 1 270.284 0 0
713 248 1 270.506 0 0
714 291 1 270.728 0 0
715 274 1 270.95 0 0
716 267 1 271.172 0 0
717 272 1 271.393 0 0
718 257 1 271.614 0 0
719 240 1 271.835 0 0
720 288 1 272.056 0 0
721 293 1 272.277 0 0
722 268 1 272.497 0 0
723 257 1 272.718 0 0
724 272 1 272.938 0 0
725 308 1 273.158 0 0
726 276 1 273.377 0 0
727 287 1 273.597 0 0
728 265 1 273.816 0 0
729 270 1 274.036 0 0
730 284 1 274.254 0 0
731 278 1 274.473 0 0
732 306 1 274.692 0 0
733 278 1 274.91 0 0
734 266 1 275.128 0 0
735 274 1 275.346 0 0
736 277 1 275.564 0 0
737 266 1 275.782 0 0
738 270 1 275.999 0 0
739 258 1 276.216 0 0
740 292 1 276.433 0 0
741 277 1 276.65 0 0
742 253 1 276.866 0 0
743 271 1 277.083 0 0
744 259 1 277.299 0 0
745 275 1 277.515 0 0
746 270 1 277.73 0 0
747 255 1 277.946 0 0
748 317 1 278.161 1.31421e-321 0
749 290 1 278.376 1.31421e-321 0
750 310 1 278.591 2.62843e-321 0
751 264 1 278.805 2.62843e-321 0
752 247 1 279.02 3.9377e-321 0
753 291 1 279.234 5.25192e-321 0
754 282 1 279.448 7.88035e-321 0
755 250 1 279.662 1.05088e-320 0
756 302 1 279.875 1.31323e-320 0
757 265 1 280.088 1.70749e-320 0
758 256 1 280.301 2.23268e-320 0
759 280 1 280.514 3.02072e-320 0
760 302 1 280.727 3.94017e-320 0
761 295 1 280.939 5.12198e-320 0
762 279 1 281.151 6.56663e-320 0
763 302 1 281.363 8.66789e-320 0
764 273 1 281.575 1.12948e-319 0
765 270 1 281.786 1.45779e-319 0
766 227 1 281.998 1.90433e-319 0
767 271 1 282.209 2.48219e-319 0
768 291 1 282.419 3.23079e-319 0
769 296 1 282.63 4.18953e-319 0
770 293 1 282.84 5.45033e-319 0
771 272 1 283.05 7.09197e-319 0
772 274 1 283.26 9.21956e-319 0
773 281 1 283.47 1.19907e-318 0
774 271 1 283.679 1.55761e-318 0
775 273 1 283.888 2.02515e-318 0
776 272 1 284.097 2.63191e-318 0
777 289 1 284.306 3.41991e-318 0
778 290 1 284.514 4.4443e-318 0
779 268 1 284.722 5.77602e-318 0
780 261 1 284.93 7.50436e-318 0
781 299 1 285.138 9.75015e-318 0
782 292 1 285.345 1.26684e-317 0
783 269 1 285.553 1.64573e-317 0
784 304 1 285.76 2.13797e-317 0
785 314 1 285.966 2.7773e-317 0
786 316 1 286.173 3.60771e-317 0
787 293 1 286.379 4.68609e-317 0
788 288 1 286.585 6.08649e-317 0
789 300 1 286.791 7.90506e-317 0
790 324 1 286.996 1.02664e-316 0
791 302 1 287.201 1.33326e-316 0
792 288 1 287.406 1.73137e-316 0
793 300 1 287.611 2.24827e-316 0
794 289 1 287.815 2.91933e-316 0
795 308 1 288.019 3.79053e-316 0
796 292 1 288.223 4.92146e-316 0
797 318 1 288.427 6.38954e-316 0
798 306 1 288.63 8.29514e-316 0
799 300 1 288.833 1.07686e-315 0
800 314 1 289.036 1.39789e-315 0
801 279 1 289.239 1.81454e-315 0
802 291 1 289.441 2.35526e-315 0
803 279 1 289.643 3.05698e-315 0
804 308 1 289.845 3.96758e-315 0
805 306 1 290.047 5.14919e-315 0
806 289 1 290.248 6.68239e-315 0
807 327 1 290.449 8.67169e-315 0
808 311 1 290.65 1.12527e-314 0
809 303 1 290.85 1.46012e-314 0
810 285 1 291.051 1.89452e-314 0
811 307 1 291.25 2.45805e-314 0
812 269 1 291.45 3.18906e-314 0
813 322 1 291.65 4.13727e-314 0
814 283 1 291.849 5.36716e-314 0
815 292 1 292.048 6.96233e-314 0
816 298 1 292.246 9.03119e-314 0
817 303 1 292.444 1.17143e-313 0
818 293 1 292.643 1.51938e-313 0
819 286 1 292.84 1.97058e-313 0
820 299 1 293.038 2.55567e-313 0
821 325 1 293.235 3.31431e-313 0
822 315 1 293.432 4.29796e-313 0
823 299 1 293.629 5.57328e-313 0
824 305 1 293.825 7.22669e-313 0
825 300 1 294.021 9.37017e-313 0
826 290 1 294.217 1.21489e-312 0
827 306 1 294.412 1.57508e-312 0
828 303 1 294.608 2.04198e-312 0
829 304 1 294.803 2.64715e-312 0
830 282 1 294.997 3.43151e-312 0
831 289 1 295.192 4.44807e-312 0
832 278 1 295.386 5.76552e-312 0
833 305 1 295.58 7.47283e-312 0
834 301 1 295.773 9.68525e-312 0
835 323 1 295.966 1.25521e-311 0
836 298 1 296.159 1.62668e-311 0
837 317 1 296.352 2.10799e-311 0
838 308 1 296.544 2.73158e-311 0
839 330 1 296.736 3.53947e-311 0
840 284 1 296.928 4.58609e-311 0
841 312 1 297.12 5.94193e-311 0
842 307 1 297.311 7.69825e-311 0
843 316 1 297.502 9.97323e-311 0
844 297 1 297.692 1.29199e-310 0
845 295 1 297.882 1.67365e-310 0
846 274 1 298.072 2.16794e-310 0
847 260 1 298.262 2.80808e-310 0
848 350 1 298.452 3.63708e-310 0
849 326 1 298.641 4.71059e-310 0
850 310 1 298.829 6.10068e-310 0
851 313 1 299.018 7.9006e-310 0
852 319 1 299.206 1.02311e-309 0
853 313 1 299.394 1.32484e-309 0
854 325 1 299.582 1.71548e-309 0
855 290 1 299.769 2.2212e-309 0
856 306 1 299.956 2.87586e-309 0
857 308 1 300.142 3.7233e-309 0
858 319 1 300.329 4.82025e-309 0
859 326 1 300.515 6.24007e-309 0
860 323 1 300.701 8.07774e-309 0
861 340 1 300.886 1.04561e-308 0
862 299 1 301.071 1.35341e-308 0
863 293 1 301.256 1.75174e-308 0
864 308 1 301.44 2.26719e-308 0
865 295 1 301.624 2.93418e-308 0
866 297 1 301.808 3.79722e-308 0
867 312 1 301.992 4.91388e-308 0
868 334 1 302.175 6.35861e-308 0
869 309 1 302.358 8.22774e-308 0
870 303 1 302.541 1.06458e-307 0
871 299 1 302.723 1.37739e-307 0
872 312 1 302.905 1.78202e-307 0
873 354 1 303.086 2.30542e-307 0
874 326 1 303.268 2.98241e-307 0
875 329 1 303.449 3.85802e-307 0
876 297 1 303.629 4.99046e-307 0
877 311 1 303.81 6.45501e-307 0
878 307 1 303.99 8.34897e-307 0
879 308 1 304.17 1.07981e-306 0
880 323 1 304.349 1.39651e-306 0
881 332 1 304.528 1.80601e-306 0
882 323 1 304.707 2.33547e-306 0
883 336 1 304.885 3.02002e-306 0
884 306 1 305.063 3.90502e-306 0
885 341 1 305.241 5.04915e-306 0
886 320 1 305.418 6.52818e-306 0
887 312 1 305.595 8.44007e-306 0
888 327 1 305.772 1.09114e-305 0
889 337 1 305.949 1.41057e-305 0
890 307 1 306.125 1.82342e-305 0
891 314 1 306.3 2.357e-305 0
892 313 1 306.476 3.04658e-305 0
893 302 1 306.651 3.93772e-305 0
894 324 1 306.826 5.08929e-305 0
895 322 1 307 6.57732e-305 1.12153e-321
896 307 1 307.174 8.50004e-305 1.12153e-321
897 288 1 307.348 1.09843e-304 1.12153e-321
898 327 1 307.521 1.4194e-304 2.248e-321
899 317 1 307.695 1.83407e-304 2.248e-321
900 316 1 307.867 2.36977e-304 3.36953e-321
901 326 1 308.04 3.0618e-304 4.49106e-321
902 317 1 308.212 3.95573e-304 5.61753e-321
903 317 1 308.383 5.11043e-304 7.86058e-321
904 320 1 308.555 6.60187e-304 1.01086e-320
905 306 1 308.726 8.52819e-304 1.34781e-320
906 305 1 308.897 1.10161e-303 1.68476e-320
907 298 1 309.067 1.4229e-303 2.13387e-320
908 326 1 309.237 1.83783e-303 2.69513e-320
909 333 1 309.407 2.37363e-303 3.36903e-320
910 270 1 309.576 3.0655e-303 4.26724e-320
911 338 1 309.745 3.95886e-303 5.5029e-320
912 327 1 309.914 5.11233e-303 6.96287e-320
