# exported by fityk 0.8.7
#2-Fe:x	2-Fe:y	2-Fe:s	2-Fe:F(x)	2-Fe:%_1(x)	2-Fe:%_2(x)	2-Fe:%_3(x)	2-Fe:%_4(x)	2-Fe:a
5.32	25	5	0.0879029	0.0878958	8.00295e-017	0	7.12588e-006	1
5.33	46	6.78233	0.106545	0.106539	1.30051e-016	0	6.02918e-006	1
5.35	33	5.74456	0.155684	0.15568	3.40612e-016	0	4.30468e-006	1
5.36	31	5.56776	0.187684	0.187681	5.4896e-016	0	3.63248e-006	1
5.38	59	7.68115	0.271298	0.271295	1.41422e-015	0	2.57972e-006	1
5.4	37	6.08276	0.389343	0.389341	3.60343e-015	0	1.82557e-006	1
5.41	34	5.83095	0.465157	0.465155	5.72827e-015	0	1.53367e-006	1
5.43	46	6.78233	0.660363	0.660362	1.43567e-014	0	1.07956e-006	1
5.44	34	5.83095	0.784691	0.78469	2.26348e-014	0	9.04531e-007	1
5.46	50	7.07107	1.102	1.10199	5.58005e-014	0	6.33318e-007	1
5.48	46	6.78233	1.53647	1.53647	1.36057e-013	0	4.41853e-007	1
5.49	37	6.08276	1.80935	1.80935	2.11578e-013	0	3.68576e-007	1
5.51	45	6.7082	2.49554	2.49554	5.0744e-013	0	2.55782e-007	1
5.52	37	6.08276	2.92288	2.92288	7.82617e-013	0	2.12796e-007	1
5.54	49	7	3.98796	3.98796	1.84627e-012	0	1.4689e-007	1
5.55	46	6.78233	4.64563	4.64563	2.82408e-012	0	1.21878e-007	1
5.57	53	7.28011	6.27019	6.27019	6.55322e-012	0	8.36839e-008	1
5.59	56	7.48331	8.40199	8.40199	1.50402e-011	0	5.72551e-008	1
5.6	36	6	9.69967	9.69967	2.26914e-011	0	4.72957e-008	1
5.62	43	6.55744	12.8574	12.8574	5.12262e-011	0	3.2187e-008	1
5.63	65	8.06226	14.7631	14.7631	7.66505e-011	0	2.65174e-008	1
5.65	43	6.55744	19.3586	19.3586	1.70207e-010	0	1.79505e-008	1
5.67	70	8.3666	25.2019	25.2019	3.73819e-010	0	1.21081e-008	1
5.68	60	7.74597	28.6772	28.6772	5.5171e-010	0	9.93117e-009	1
5.7	83	9.11043	36.9312	36.9312	1.19186e-009	0	6.66329e-009	1
5.71	88	9.38083	41.7971	41.7971	1.74458e-009	0	5.45073e-009	1
5.73	76	8.7178	53.2475	53.2475	3.70713e-009	0	3.63772e-009	1
5.74	88	9.38083	59.9377	59.9377	5.3817e-009	0	2.96782e-009	1
5.76	91	9.53939	75.5354	75.5354	1.12486e-008	0	1.97015e-009	1
5.78	137	11.7047	94.5073	94.5073	2.3254e-008	0	1.30322e-009	1
5.79	133	11.5326	105.426	105.426	3.32971e-008	0	1.05852e-009	1
5.81	156	12.49	130.484	130.484	6.77076e-008	0	6.9647e-010	1
5.82	143	11.9583	144.773	144.773	9.61526e-008	0	5.64191e-010	1
5.84	212	14.5602	177.255	177.255	1.9232e-007	0	3.69247e-010	1
5.85	158	12.5698	195.603	195.603	2.70872e-007	0	2.98321e-010	1
