# exported by fityk 0.8.7
#18-X:x	18-X:y	18-X:s	18-X:F(x)	18-X:%_1(x)	18-X:%_3(x)	18-X:a
4.21	21	4.58258	4.93153e-040	4.93153e-040	1.05924e-080	1
4.23	17	4.12311	1.68341e-039	1.68341e-039	7.07146e-080	1
4.24	15	3.87298	3.10131e-039	3.10131e-039	1.82062e-079	1
4.26	27	5.19615	1.04654e-038	1.04654e-038	1.19825e-078	1
4.27	12	3.4641	1.91695e-038	1.91695e-038	3.06313e-078	1
4.29	25	5	6.39472e-038	6.39472e-038	1.98749e-077	1
4.3	22	4.69042	1.1646e-037	1.1646e-037	5.04462e-077	1
4.32	13	3.60555	3.84052e-037	3.84052e-037	3.22686e-076	1
4.34	20	4.47214	1.25681e-036	1.25681e-036	2.0446e-075	1
4.35	15	3.87298	2.26704e-036	2.26704e-036	5.12831e-075	1
4.37	23	4.79583	7.33398e-036	7.33398e-036	3.20342e-074	1
4.38	16	4	1.31532e-035	1.31532e-035	7.97786e-074	1
4.4	18	4.24264	4.20641e-035	4.20641e-035	4.9129e-073	1
4.42	11	3.31662	1.33494e-034	1.33494e-034	2.99685e-072	1
4.43	16	4	2.3713e-034	2.3713e-034	7.37531e-072	1
4.45	22	4.69042	7.43936e-034	7.43936e-034	4.43526e-071	1
4.46	23	4.79583	1.3139e-033	1.3139e-033	1.08378e-070	1
4.48	22	4.69042	4.07486e-033	4.07486e-033	6.42528e-070	1
4.49	16	4	7.15547e-033	7.15547e-033	1.55891e-069	1
4.51	18	4.24264	2.19377e-032	2.19377e-032	9.11137e-069	1
4.53	15	3.87298	6.67436e-032	6.67436e-032	5.27499e-068	1
4.54	20	4.47214	1.16083e-031	1.16083e-031	1.26472e-067	1
4.56	25	5	3.49133e-031	3.49133e-031	7.21844e-067	1
4.57	22	4.69042	6.03742e-031	6.03742e-031	1.71839e-066	1
4.59	25	5	1.79503e-030	1.79503e-030	9.66905e-066	1
4.6	22	4.69042	3.08627e-030	3.08627e-030	2.28543e-065	1
4.62	23	4.79583	9.07103e-030	9.07103e-030	1.26778e-064	1
4.64	22	4.69042	2.64574e-029	2.64574e-029	6.96613e-064	1
4.65	25	5	4.50549e-029	4.50549e-029	1.62712e-063	1
4.67	16	4	1.29907e-028	1.29907e-028	8.81416e-063	1
4.68	21	4.58258	2.19953e-028	2.19953e-028	2.04416e-062	1
4.7	19	4.3589	6.26933e-028	6.26933e-028	1.09166e-061	1
4.72	17	4.12311	1.7733e-027	1.7733e-027	5.7748e-061	1
4.73	20	4.47214	2.9738e-027	2.9738e-027	1.32347e-060	1
4.75	19	4.3589	8.31518e-027	8.31518e-027	6.902e-060	1
4.76	26	5.09902	1.38644e-026	1.38644e-026	1.57057e-059	1
4.78	17	4.12311	3.83234e-026	3.83234e-026	8.0748e-059	1
