# exported by fityk 0.8.7
#3-Cu:x	3-Cu:y	3-Cu:s	3-Cu:F(x)	3-Cu:%_1(x)	3-Cu:%_2(x)	3-Cu:a
4.49	46	6.78233	4.28359e-046	4.28359e-046	4.96813e-093	1
4.51	33	5.74456	1.54556e-045	1.54556e-045	3.65087e-092	1
4.53	31	5.56776	5.53579e-045	5.53579e-045	2.65852e-091	1
4.54	24	4.89898	1.0448e-044	1.0448e-044	7.14953e-091	1
4.56	31	5.56776	3.70126e-044	3.70126e-044	5.1355e-090	1
4.57	47	6.85565	6.94729e-044	6.94729e-044	1.37167e-089	1
4.59	30	5.47723	2.4342e-043	2.4342e-043	9.71891e-089	1
4.6	25	5	4.54396e-043	4.54396e-043	2.5782e-088	1
4.62	35	5.91608	1.57471e-042	1.57471e-042	1.80196e-087	1
4.64	24	4.89898	5.41729e-042	5.41729e-042	1.248e-086	1
4.65	32	5.65685	1.00203e-041	1.00203e-041	3.27313e-086	1
4.67	26	5.09902	3.40946e-041	3.40946e-041	2.23611e-085	1
4.68	31	5.56776	6.27183e-041	6.27183e-041	5.8247e-085	1
4.7	36	6	2.11069e-040	2.11069e-040	3.92523e-084	1
4.72	35	5.91608	7.05133e-040	7.05133e-040	2.62118e-083	1
4.73	32	5.65685	1.28529e-039	1.28529e-039	6.75039e-083	1
4.75	25	5	4.24688e-039	4.24688e-039	4.44654e-082	1
4.76	23	4.79583	7.69859e-039	7.69859e-039	1.13733e-081	1
4.78	21	4.58258	2.51597e-038	2.51597e-038	7.38992e-081	1
4.79	35	5.91608	4.53585e-038	4.53585e-038	1.87729e-080	1
4.81	35	5.91608	1.46615e-037	1.46615e-037	1.20323e-079	1
4.83	34	5.83095	4.70448e-037	4.70448e-037	7.64198e-079	1
4.84	24	4.89898	8.40397e-037	8.40397e-037	1.91933e-078	1
4.86	33	5.74456	2.66712e-036	2.66712e-036	1.20245e-077	1
4.87	27	5.19615	4.73836e-036	4.73836e-036	2.99946e-077	1
4.89	35	5.91608	1.48734e-035	1.48734e-035	1.85363e-076	1
4.91	28	5.2915	4.63457e-035	4.63457e-035	1.13513e-075	1
4.92	20	4.47214	8.15858e-035	8.15858e-035	2.79943e-075	1
4.94	23	4.79583	2.51442e-034	2.51442e-034	1.69103e-074	1
4.95	34	5.83095	4.40204e-034	4.40204e-034	4.14198e-074	1
4.97	30	5.47723	1.34184e-033	1.34184e-033	2.46804e-073	1
4.98	17	4.12311	2.33631e-033	2.33631e-033	6.00397e-073	1
5	31	5.56776	7.0437e-033	7.0437e-033	3.52893e-072	1
5.02	29	5.38516	2.10808e-032	2.10808e-032	2.05536e-071	1
5.03	27	5.19615	3.63695e-032	3.63695e-032	4.94341e-071	1
5.05	18	4.24264	1.07658e-031	1.07658e-031	2.8401e-070	1
5.06	25	5	1.84718e-031	1.84718e-031	6.78426e-070	1
5.08	37	6.08276	5.40809e-031	5.40809e-031	3.84477e-069	1
5.1	22	4.69042	1.57179e-030	1.57179e-030	2.15914e-068	1
5.11	22	4.69042	2.67225e-030	2.67225e-030	5.09918e-068	1
5.13	30	5.47723	7.68159e-030	7.68159e-030	2.82469e-067	1
5.14	21	4.58258	1.29881e-029	1.29881e-029	6.62554e-067	1
5.16	29	5.38516	3.6927e-029	3.6927e-029	3.62037e-066	1
5.17	35	5.91608	6.20939e-029	6.20939e-029	8.43401e-066	1
5.19	39	6.245	1.74611e-028	1.74611e-028	4.54598e-065	1
5.21	23	4.79583	4.87429e-028	4.87429e-028	2.42807e-064	1
5.22	21	4.58258	8.12151e-028	8.12151e-028	5.59234e-064	1
5.24	20	4.47214	2.24233e-027	2.24233e-027	2.94638e-063	1
5.25	27	5.19615	3.71567e-027	3.71567e-027	6.73988e-063	1
5.27	29	5.38516	1.01467e-026	1.01467e-026	3.50275e-062	1
5.29	26	5.09902	2.7506e-026	2.7506e-026	1.80387e-061	1
5.3	26	5.09902	4.51633e-026	4.51633e-026	4.07962e-061	1
5.32	27	5.19615	1.21091e-025	1.21091e-025	2.07243e-060	1
5.33	25	5	1.97734e-025	1.97734e-025	4.65504e-060	1
5.35	20	4.47214	5.24365e-025	5.24365e-025	2.33262e-059	1
5.36	34	5.83095	8.5156e-025	8.5156e-025	5.20379e-059	1
5.38	32	5.65685	2.23352e-024	2.23352e-024	2.57218e-058	1
5.4	22	4.69042	5.81543e-024	5.81543e-024	1.25986e-057	1
5.41	26	5.09902	9.35801e-024	9.35801e-024	2.77875e-057	1
5.43	19	4.3589	2.4099e-023	2.4099e-023	1.34256e-056	1
5.44	34	5.83095	3.85667e-023	3.85667e-023	2.94097e-056	1
5.46	33	5.74456	9.82318e-023	9.82318e-023	1.40164e-055	1
5.48	27	5.19615	2.48375e-022	2.48375e-022	6.61945e-055	1
5.49	37	6.08276	3.93859e-022	3.93859e-022	1.43361e-054	1
5.51	20	4.47214	9.84965e-022	9.84965e-022	6.67848e-054	1
5.52	27	5.19615	1.55334e-021	1.55334e-021	1.43654e-053	1
5.54	21	4.58258	3.84211e-021	3.84211e-021	6.60123e-053	1
5.55	20	4.47214	6.02598e-021	6.02598e-021	1.41025e-052	1
5.57	25	5	1.4742e-020	1.4742e-020	6.39241e-052	1
5.59	17	4.12311	3.58013e-020	3.58013e-020	2.87128e-051	1
5.6	26	5.09902	5.56387e-020	5.56387e-020	6.06451e-051	1
5.62	25	5	1.33643e-019	1.33643e-019	2.687e-050	1
5.63	25	5	2.06555e-019	2.06555e-019	5.63663e-050	1
5.65	17	4.12311	4.90712e-019	4.90712e-019	2.4635e-049	1
5.67	29	5.38516	1.15727e-018	1.15727e-018	1.06691e-048	1
5.68	24	4.89898	1.77233e-018	1.77233e-018	2.21274e-048	1
5.7	36	6	4.13406e-018	4.13406e-018	9.45291e-048	1
5.71	34	5.83095	6.29649e-018	6.29649e-018	1.94715e-047	1
5.73	32	5.65685	1.45263e-017	1.45263e-017	8.20532e-047	1
5.74	23	4.79583	2.20033e-017	2.20033e-017	1.67865e-046	1
5.76	34	5.83095	5.02074e-017	5.02074e-017	6.97779e-046	1
5.78	27	5.19615	1.13727e-016	1.13727e-016	2.8742e-045	1
5.79	22	4.69042	1.70694e-016	1.70694e-016	5.81342e-045	1
5.81	40	6.32456	3.82418e-016	3.82418e-016	2.36207e-044	1
5.82	22	4.69042	5.70827e-016	5.70827e-016	4.74502e-044	1
5.84	41	6.40312	1.26488e-015	1.26488e-015	1.90178e-043	1
5.85	29	5.38516	1.8777e-015	1.8777e-015	3.79434e-043	1
5.87	32	5.65685	4.11523e-015	4.11523e-015	1.5001e-042	1
5.89	36	6	8.95321e-015	8.95321e-015	5.87683e-042	1
5.9	44	6.63325	1.31697e-014	1.31697e-014	1.15923e-041	1
5.92	36	6	2.8339e-014	2.8339e-014	4.47977e-041	1
5.93	33	5.74456	4.14568e-014	4.14568e-014	8.77635e-041	1
5.95	27	5.19615	8.82323e-014	8.82323e-014	3.3455e-040	1
5.97	32	5.65685	1.86413e-013	1.86413e-013	1.26371e-039	1
5.98	34	5.83095	2.70213e-013	2.70213e-013	2.4477e-039	1
6	47	6.85565	5.64649e-013	5.64649e-013	9.12024e-039	1
6.01	29	5.38516	8.13993e-013	8.13993e-013	1.75447e-038	1
6.03	39	6.245	1.68235e-012	1.68235e-012	6.44847e-038	1
6.04	36	6	2.41197e-012	2.41197e-012	1.23205e-037	1
6.06	30	5.47723	4.93051e-012	4.93051e-012	4.46682e-037	1
6.08	35	5.91608	1.00053e-011	1.00053e-011	1.60476e-036	1
6.09	55	7.4162	1.42136e-011	1.42136e-011	3.03132e-036	1
6.11	32	5.65685	2.85275e-011	2.85275e-011	1.07425e-035	1
6.12	47	6.85565	4.03041e-011	4.03041e-011	2.01539e-035	1
6.14	46	6.78233	8.00082e-011	8.00082e-011	7.0452e-035	1
6.16	28	5.2915	1.57665e-010	1.57665e-010	2.44045e-034	1
6.17	55	7.4162	2.2072e-010	2.2072e-010	4.52661e-034	1
6.19	34	5.83095	4.30196e-010	4.30196e-010	1.54671e-033	1
6.2	54	7.34847	5.98941e-010	5.98941e-010	2.84934e-033	1
6.22	51	7.14143	1.1546e-009	1.1546e-009	9.60379e-033	1
6.23	44	6.63325	1.59869e-009	1.59869e-009	1.75714e-032	1
6.25	46	6.78233	3.04815e-009	3.04815e-009	5.84208e-032	1
6.27	52	7.2111	5.76933e-009	5.76933e-009	1.92472e-031	1
6.28	46	6.78233	7.91545e-009	7.91545e-009	3.48164e-031	1
6.3	36	6	1.4818e-008	1.4818e-008	1.13148e-030	1
6.31	51	7.14143	2.02186e-008	2.02186e-008	2.03279e-030	1
6.33	35	5.91608	3.74359e-008	3.74359e-008	6.51652e-030	1
6.35	54	7.34847	6.88083e-008	6.88083e-008	2.07005e-029	1
6.36	36	6	9.30301e-008	9.30301e-008	3.67687e-029	1
6.38	44	6.63325	1.69122e-007	1.69122e-007	1.15214e-028	1
6.39	56	7.48331	2.27402e-007	2.27402e-007	2.03251e-028	1
6.41	55	7.4162	4.0888e-007	4.0888e-007	6.2823e-028	1
6.42	40	6.32456	5.46768e-007	5.46768e-007	1.10072e-027	1
6.44	53	7.28011	9.72362e-007	9.72362e-007	3.35603e-027	1
6.46	57	7.54983	1.7166e-006	1.7166e-006	1.01395e-026	1
6.47	39	6.245	2.27455e-006	2.27455e-006	1.75641e-026	1
6.49	48	6.9282	3.97156e-006	3.97156e-006	5.2345e-026	1
6.5	62	7.87401	5.23359e-006	5.23359e-006	9.00567e-026	1
6.52	52	7.2111	9.03834e-006	9.03834e-006	2.64745e-025	1
6.54	34	5.83095	1.54951e-005	1.54951e-005	7.71224e-025	1
6.55	50	7.07107	2.02327e-005	2.02327e-005	1.31181e-024	1
6.57	36	6	3.4307e-005	3.4307e-005	3.76952e-024	1
6.58	49	7	4.45505e-005	4.45505e-005	6.36809e-024	1
6.6	44	6.63325	7.47148e-005	7.47148e-005	1.80503e-023	1
6.61	38	6.16441	9.64915e-005	9.64915e-005	3.02857e-023	1
6.63	55	7.4162	0.000160054	0.000160054	8.46787e-023	1
6.65	61	7.81025	0.000263548	0.000263548	2.34613e-022	1
6.66	38	6.16441	0.000337258	0.000337258	3.89185e-022	1
