Filename:	C:\Program Files\Pyris\Data\F-Praktikum\WS1819\BA-C-04\blei_50k-m.dsd

Temperature (°C)	Heat Flow Endo Up (mW)
243.33	-4.1054
243.17	-4.1057
243.00	-4.1063
242.83	-4.1069
242.67	-4.1072
242.50	-4.1078
242.33	-4.1085
242.17	-4.1091
242.00	-4.1097
241.83	-4.1103
241.67	-4.1109
241.50	-4.1115
241.33	-4.1122
241.17	-4.1128
241.00	-4.1134
240.83	-4.1140
240.67	-4.1146
240.50	-4.1152
240.33	-4.1159
240.17	-4.1165
240.00	-4.1171
239.83	-4.1180
239.67	-4.1186
239.50	-4.1193
239.33	-4.1202
239.17	-4.1208
239.00	-4.1211
238.83	-4.1217
238.67	-4.1223
238.50	-4.1227
238.33	-4.1233
238.17	-4.1236
238.00	-4.1242
237.83	-4.1245
237.67	-4.1251
237.50	-4.1257
237.33	-4.1267
237.17	-4.1273
237.00	-4.1282
236.83	-4.1291
236.67	-4.1298
236.50	-4.1307
236.33	-4.1313
236.17	-4.1319
236.00	-4.1325
235.83	-4.1331
235.67	-4.1338
235.50	-4.1344
235.33	-4.1350
235.17	-4.1356
235.00	-4.1362
234.83	-4.1369
234.67	-4.1372
234.50	-4.1375
234.33	-4.1381
234.17	-4.1384
234.00	-4.1387
233.83	-4.1390
233.67	-4.1393
233.50	-4.1396
233.33	-4.1399
233.17	-4.1406
233.00	-4.1412
232.83	-4.1415
232.67	-4.1421
232.50	-4.1424
232.33	-4.1430
232.17	-4.1436
232.00	-4.1443
231.83	-4.1446
231.67	-4.1449
231.50	-4.1452
231.33	-4.1455
231.17	-4.1461
231.00	-4.1467
230.83	-4.1473
230.67	-4.1480
230.50	-4.1486
230.33	-4.1492
230.17	-4.1495
230.00	-4.1501
229.83	-4.1511
229.67	-4.1517
229.50	-4.1523
229.33	-4.1529
229.17	-4.1532
229.00	-4.1538
228.83	-4.1538
228.67	-4.1544
228.50	-4.1548
228.33	-4.1551
228.17	-4.1557
228.00	-4.1560
227.83	-4.1566
227.67	-4.1569
227.50	-4.1575
227.33	-4.1582
227.17	-4.1588
227.00	-4.1591
226.83	-4.1597
226.67	-4.1600
226.50	-4.1603
226.33	-4.1609
226.17	-4.1612
226.00	-4.1615
225.83	-4.1622
225.67	-4.1625
225.50	-4.1628
225.33	-4.1631
225.17	-4.1631
225.00	-4.1634
224.83	-4.1634
224.67	-4.1634
224.50	-4.1637
224.33	-4.1637
224.17	-4.1637
224.00	-4.1637
223.83	-4.1637
223.67	-4.1637
223.50	-4.1634
223.33	-4.1634
223.17	-4.1631
223.00	-4.1631
222.83	-4.1631
222.67	-4.1631
222.50	-4.1631
222.33	-4.1634
222.17	-4.1637
222.00	-4.1640
221.83	-4.1646
221.67	-4.1649
221.50	-4.1653
221.33	-4.1659
221.17	-4.1662
221.00	-4.1668
220.83	-4.1671
220.67	-4.1677
220.50	-4.1680
220.33	-4.1686
220.17	-4.1690
220.00	-4.1696
219.83	-4.1699
219.67	-4.1705
219.50	-4.1708
219.33	-4.1711
219.17	-4.1714
219.00	-4.1717
218.83	-4.1720
218.67	-4.1724
218.50	-4.1727
218.33	-4.1733
218.17	-4.1736
218.00	-4.1739
217.83	-4.1739
217.67	-4.1742
217.50	-4.1739
217.33	-4.1739
217.17	-4.1739
217.00	-4.1739
216.83	-4.1739
216.67	-4.1742
216.50	-4.1745
216.33	-4.1748
216.17	-4.1754
216.00	-4.1757
215.83	-4.1764
215.67	-4.1767
215.50	-4.1773
215.33	-4.1776
215.17	-4.1779
215.00	-4.1782
214.83	-4.1785
214.67	-4.1788
214.50	-4.1788
214.33	-4.1791
214.17	-4.1795
214.00	-4.1798
213.83	-4.1801
213.67	-4.1807
213.50	-4.1810
213.33	-4.1816
213.17	-4.1819
213.00	-4.1825
212.83	-4.1832
212.67	-4.1838
212.50	-4.1841
212.33	-4.1847
212.17	-4.1850
212.00	-4.1856
211.83	-4.1859
211.67	-4.1862
211.50	-4.1866
211.33	-4.1866
211.17	-4.1866
211.00	-4.1866
210.83	-4.1862
210.67	-4.1862
210.50	-4.1862
210.33	-4.1859
210.17	-4.1859
210.00	-4.1856
209.83	-4.1856
209.67	-4.1856
209.50	-4.1856
209.33	-4.1853
209.17	-4.1853
209.00	-4.1853
208.83	-4.1853
208.67	-4.1853
208.50	-4.1853
208.33	-4.1853
208.17	-4.1853
208.00	-4.1856
207.83	-4.1856
207.67	-4.1853
207.50	-4.1853
207.33	-4.1853
207.17	-4.1850
207.00	-4.1850
206.83	-4.1847
206.67	-4.1847
206.50	-4.1844
206.33	-4.1844
206.17	-4.1841
206.00	-4.1841
205.83	-4.1841
205.67	-4.1841
205.50	-4.1838
205.33	-4.1841
205.17	-4.1838
205.00	-4.1841
204.83	-4.1841
204.67	-4.1841
204.50	-4.1838
204.33	-4.1835
204.17	-4.1835
204.00	-4.1828
203.83	-4.1825
203.67	-4.1822
203.50	-4.1819
203.33	-4.1816
203.17	-4.1813
203.00	-4.1810
202.83	-4.1807
202.67	-4.1804
202.50	-4.1801
