Filename:	C:\Program Files\Pyris\Data\F-Praktikum\WS1819\BA-C-04\blei_50k-m.dsd

Temperature (°C)	Heat Flow Endo Up (mW)
244.50	1.5389
244.67	1.5385
244.84	1.5382
245.00	1.5376
245.17	1.5370
245.34	1.5364
245.50	1.5358
245.67	1.5352
245.84	1.5345
246.00	1.5336
246.17	1.5330
246.34	1.5321
246.50	1.5311
246.67	1.5302
246.84	1.5293
247.00	1.5287
247.17	1.5281
247.34	1.5277
247.50	1.5271
247.67	1.5268
247.84	1.5265
248.00	1.5262
248.17	1.5259
248.34	1.5253
248.50	1.5250
248.67	1.5243
248.84	1.5237
249.00	1.5234
249.17	1.5228
249.34	1.5225
249.50	1.5222
249.67	1.5219
249.84	1.5216
250.00	1.5213
250.17	1.5210
250.34	1.5203
250.50	1.5203
250.67	1.5200
250.84	1.5200
251.00	1.5197
251.17	1.5194
251.34	1.5194
251.50	1.5191
251.67	1.5185
251.84	1.5182
252.00	1.5179
252.17	1.5172
252.34	1.5169
252.50	1.5166
252.67	1.5166
252.84	1.5163
253.00	1.5160
253.17	1.5157
253.34	1.5154
253.50	1.5151
253.67	1.5145
253.84	1.5142
254.00	1.5142
254.17	1.5139
254.34	1.5135
254.50	1.5132
254.67	1.5129
254.84	1.5126
255.00	1.5123
255.17	1.5120
255.34	1.5114
255.50	1.5108
255.67	1.5105
255.84	1.5098
256.00	1.5092
256.17	1.5086
256.34	1.5080
256.50	1.5071
256.67	1.5064
256.84	1.5058
257.00	1.5049
257.17	1.5043
257.34	1.5034
257.50	1.5027
257.67	1.5018
257.84	1.5006
258.00	1.5000
258.17	1.4987
258.34	1.4978
258.50	1.4969
258.67	1.4959
258.84	1.4950
259.00	1.4941
259.17	1.4932
259.34	1.4922
259.50	1.4913
259.67	1.4904
259.84	1.4898
260.00	1.4892
260.17	1.4882
260.34	1.4873
260.50	1.4867
260.67	1.4858
260.84	1.4848
261.00	1.4839
261.17	1.4830
261.34	1.4821
261.50	1.4811
261.67	1.4802
261.84	1.4796
262.00	1.4787
262.17	1.4780
262.34	1.4774
262.50	1.4771
262.67	1.4768
262.84	1.4765
263.00	1.4762
263.17	1.4762
263.34	1.4762
263.50	1.4765
263.67	1.4768
263.84	1.4774
264.00	1.4777
264.17	1.4780
264.34	1.4780
264.50	1.4780
264.67	1.4777
264.84	1.4771
265.00	1.4762
265.17	1.4746
265.34	1.4731
265.50	1.4713
265.67	1.4691
265.84	1.4669
266.00	1.4645
266.17	1.4623
266.34	1.4598
266.50	1.4574
266.67	1.4552
266.84	1.4530
267.00	1.4512
267.17	1.4490
267.34	1.4472
267.50	1.4456
267.67	1.4441
267.84	1.4429
268.00	1.4416
268.17	1.4407
268.34	1.4398
268.50	1.4391
268.67	1.4382
268.84	1.4376
269.00	1.4373
269.17	1.4367
269.34	1.4364
269.50	1.4361
269.67	1.4358
269.84	1.4358
270.00	1.4351
270.17	1.4348
270.34	1.4342
270.50	1.4336
270.67	1.4327
270.84	1.4317
271.00	1.4308
271.17	1.4299
271.34	1.4290
271.50	1.4280
271.67	1.4271
271.84	1.4262
272.00	1.4256
272.17	1.4246
272.34	1.4240
272.50	1.4234
272.67	1.4228
272.84	1.4222
273.00	1.4216
273.17	1.4209
273.34	1.4206
273.50	1.4197
273.67	1.4191
273.84	1.4185
274.00	1.4175
274.17	1.4166
274.34	1.4157
274.50	1.4148
274.67	1.4138
274.84	1.4129
275.00	1.4123
275.17	1.4114
275.34	1.4104
275.50	1.4095
275.67	1.4086
275.84	1.4077
276.00	1.4067
276.17	1.4058
276.34	1.4052
276.50	1.4043
276.67	1.4033
276.84	1.4024
277.00	1.4018
277.17	1.4012
277.34	1.4003
277.50	1.3996
277.67	1.3990
277.84	1.3984
278.00	1.3978
278.17	1.3972
278.34	1.3962
278.50	1.3956
278.67	1.3947
278.84	1.3941
279.00	1.3935
279.17	1.3928
279.34	1.3922
279.50	1.3916
279.67	1.3910
279.84	1.3907
280.00	1.3901
280.17	1.3894
280.34	1.3891
280.50	1.3885
280.67	1.3879
280.84	1.3876
281.00	1.3870
281.17	1.3867
281.34	1.3861
281.50	1.3857
281.67	1.3854
281.84	1.3851
282.00	1.3848
282.17	1.3845
282.34	1.3842
282.50	1.3839
282.67	1.3836
282.84	1.3830
283.00	1.3823
283.17	1.3814
283.34	1.3805
283.50	1.3796
283.67	1.3786
283.84	1.3780
284.00	1.3771
284.17	1.3765
284.34	1.3759
284.50	1.3756
284.67	1.3749
284.84	1.3743
285.00	1.3740
285.17	1.3737
285.34	1.3734
285.50	1.3731
285.67	1.3731
285.84	1.3731
286.00	1.3734
286.17	1.3737
286.34	1.3737
286.50	1.3740
286.67	1.3743
286.84	1.3746
287.00	1.3749
287.17	1.3752
287.34	1.3756
287.50	1.3759
287.67	1.3765
287.84	1.3768
288.00	1.3771
288.17	1.3774
288.34	1.3777
288.50	1.3780
288.67	1.3786
288.84	1.3793
289.00	1.3799
289.17	1.3805
289.34	1.3811
289.50	1.3817
289.67	1.3823
289.84	1.3830
290.00	1.3839
290.17	1.3845
290.34	1.3848
290.50	1.3854
290.67	1.3861
290.84	1.3864
291.00	1.3870
291.17	1.3873
291.34	1.3876
291.50	1.3876
291.67	1.3879
291.84	1.3882
292.00	1.3882
292.17	1.3882
292.34	1.3882
292.50	1.3879
292.67	1.3876
292.84	1.3873
293.00	1.3870
293.17	1.3864
293.34	1.3861
293.50	1.3854
293.67	1.3851
293.84	1.3848
294.00	1.3848
294.17	1.3845
294.34	1.3842
294.50	1.3839
294.67	1.3833
294.84	1.3830
295.00	1.3827
295.17	1.3820
295.34	1.3814
295.50	1.3811
295.67	1.3805
295.84	1.3802
296.00	1.3799
296.17	1.3796
296.34	1.3793
296.50	1.3790
296.67	1.3790
296.84	1.3786
297.00	1.3780
297.17	1.3777
297.34	1.3771
297.50	1.3762
297.67	1.3752
297.84	1.3746
298.00	1.3737
298.17	1.3731
298.34	1.3725
298.50	1.3722
298.67	1.3719
298.84	1.3715
299.00	1.3712
299.17	1.3709
299.34	1.3709
299.50	1.3709
299.67	1.3709
299.84	1.3709
300.00	1.3709
300.17	1.3709
300.34	1.3706
300.50	1.3703
300.67	1.3697
300.84	1.3694
301.00	1.3688
301.17	1.3685
301.34	1.3678
301.50	1.3675
301.67	1.3672
301.84	1.3669
302.00	1.3669
302.17	1.3669
302.34	1.3669
302.50	1.3672
302.67	1.3675
302.84	1.3681
303.00	1.3688
303.17	1.3691
303.34	1.3697
303.50	1.3703
303.67	1.3709
303.84	1.3715
304.00	1.3722
304.17	1.3731
304.34	1.3737
304.50	1.3743
304.67	1.3749
304.84	1.3756
305.00	1.3762
305.17	1.3765
305.34	1.3771
305.50	1.3774
305.67	1.3780
305.84	1.3783
306.00	1.3790
306.17	1.3799
306.34	1.3805
306.50	1.3811
306.67	1.3820
306.84	1.3827
307.00	1.3836
307.17	1.3842
307.34	1.3848
307.50	1.3854
307.67	1.3861
307.84	1.3867
308.00	1.3870
308.17	1.3873
308.34	1.3876
308.50	1.3879
308.67	1.3882
308.84	1.3888
309.00	1.3891
309.17	1.3894
309.34	1.3901
309.50	1.3907
309.67	1.3913
309.84	1.3922
310.00	1.3932
310.17	1.3941
310.34	1.3950
310.50	1.3959
310.67	1.3969
310.84	1.3978
311.00	1.3987
311.17	1.3996
311.34	1.4006
311.50	1.4012
311.67	1.4021
311.84	1.4027
312.00	1.4033
312.17	1.4043
312.34	1.4049
312.50	1.4058
312.67	1.4064
312.84	1.4070
313.00	1.4080
313.17	1.4086
313.34	1.4092
313.50	1.4098
313.67	1.4101
313.84	1.4107
314.00	1.4117
314.17	1.4126
314.34	1.4141
314.50	1.4157
314.67	1.4175
314.84	1.4191
315.00	1.4206
315.17	1.4219
315.34	1.4231
315.50	1.4237
315.67	1.4243
315.84	1.4246
316.00	1.4249
316.17	1.4249
316.34	1.4246
316.50	1.4246
316.67	1.4243
316.84	1.4243
317.00	1.4240
317.17	1.4237
317.34	1.4234
317.50	1.4231
317.67	1.4228
317.84	1.4228
318.00	1.4225
318.17	1.4225
318.34	1.4228
318.50	1.4228
318.67	1.4228
318.84	1.4231
319.00	1.4234
319.17	1.4237
319.34	1.4240
319.50	1.4246
319.67	1.4253
319.84	1.4259
320.00	1.4265
320.17	1.4268
320.34	1.4274
320.50	1.4280
320.67	1.4287
320.84	1.4293
321.00	1.4299
321.17	1.4305
321.34	1.4311
321.50	1.4314
321.67	1.4317
321.84	1.4320
322.00	1.4324
322.17	1.4327
322.34	1.4330
322.50	1.4333
322.67	1.4336
322.84	1.4339
323.00	1.4342
323.17	1.4348
323.34	1.4351
323.50	1.4358
323.67	1.4364
323.84	1.4370
324.00	1.4376
324.17	1.4385
324.34	1.4395
324.50	1.4407
324.67	1.4422
324.84	1.4456
325.00	1.4527
325.17	1.4675
325.34	1.4972
325.50	1.5521
325.67	1.6457
325.84	1.7938
326.00	2.0139
326.17	2.3226
326.34	2.7360
326.50	3.2676
326.67	3.9269
326.84	4.7212
327.00	5.6538
327.17	6.7244
327.34	7.9304
327.50	9.2668
327.67	10.7279
327.84	12.3053
328.00	13.9911
328.17	15.7760
328.34	17.7276
328.50	19.6727
328.67	21.6897
328.84	23.7688
329.00	25.9019
329.17	28.0813
329.34	30.2999
329.50	32.5521
329.67	34.8319
329.84	37.1344
330.00	39.4543
330.17	41.7865
330.34	44.1261
330.50	46.4679
330.67	48.8054
330.84	51.1317
331.00	53.4389
331.17	55.7180
331.34	57.9598
331.50	60.1515
331.67	62.2754
331.84	64.2859
332.00	66.0862
332.17	67.5297
332.34	68.4620
332.50	68.7583
332.67	68.3471
332.84	67.2158
333.00	65.4022
333.17	62.9835
333.34	60.0629
333.50	56.7534
333.67	53.1706
333.84	49.4243
334.00	45.6128
334.17	41.8205
334.34	38.1161
334.50	34.5540
334.67	31.1753
334.84	28.0081
335.00	25.0696
335.17	22.3685
335.34	19.9057
335.50	17.6776
335.67	15.6747
335.84	13.8855
336.00	12.2963
336.17	10.8918
336.34	9.6564
336.50	8.5744
336.67	7.6298
336.84	6.8086
337.00	6.0962
337.17	5.4803
337.34	4.9490
337.50	4.4912
337.67	4.0976
337.84	3.7593
338.00	3.4685
338.17	3.2188
338.34	3.0042
338.50	2.8193
338.67	2.6600
338.84	2.5224
339.00	2.4029
339.17	2.2995
339.34	2.2093
339.50	2.1303
339.67	2.0612
339.84	2.0004
340.00	1.9466
340.17	1.8988
340.34	1.8562
340.50	1.8185
340.67	1.7846
340.84	1.7543
341.00	1.7269
341.17	1.7022
341.34	1.6799
341.50	1.6599
341.67	1.6417
341.84	1.6250
342.00	1.6099
342.17	1.5963
342.34	1.5836
342.50	1.5725
342.67	1.5623
342.84	1.5531
343.00	1.5447
343.17	1.5373
343.34	1.5308
343.50	1.5247
343.67	1.5194
343.84	1.5148
344.00	1.5105
344.17	1.5068
344.34	1.5034
344.50	1.5003
344.67	1.4975
344.84	1.4950
345.00	1.4926
345.17	1.4904
345.34	1.4882
345.50	1.4861
345.67	1.4839
345.84	1.4821
346.00	1.4799
346.17	1.4780
346.34	1.4759
346.50	1.4737
346.67	1.4716
346.84	1.4694
347.00	1.4675
347.17	1.4654
347.34	1.4638
347.50	1.4620
347.67	1.4604
347.84	1.4592
348.00	1.4580
348.17	1.4567
348.34	1.4558
348.50	1.4549
348.67	1.4540
348.84	1.4530
349.00	1.4524
349.17	1.4518
349.34	1.4512
349.50	1.4509
349.67	1.4503
349.84	1.4500
350.00	1.4493
350.17	1.4490
350.34	1.4484
350.50	1.4478
350.67	1.4472
350.84	1.4466
351.00	1.4456
351.17	1.4450
351.34	1.4444
351.50	1.4438
351.67	1.4432
351.84	1.4425
352.00	1.4419
