# exported by fityk 0.8.7
#4-20-Cent:x	4-20-Cent:y	4-20-Cent:s	4-20-Cent:F(x)	4-20-Cent:%_1(x)	4-20-Cent:%_2(x)	4-20-Cent:a
3.8	23	4.79583	8.80231e-073	8.80231e-073	2.33181e-085	1
3.81	17	4.12311	2.02289e-072	2.02289e-072	5.24032e-085	1
3.83	16	4	1.06201e-071	1.06201e-071	2.63367e-084	1
3.85	20	4.47214	5.53128e-071	5.53128e-071	1.31503e-083	1
3.86	27	5.19615	1.25857e-070	1.25857e-070	2.93129e-083	1
3.88	17	4.12311	6.47712e-070	6.47712e-070	1.44939e-082	1
3.89	21	4.58258	1.465e-069	1.465e-069	3.21504e-082	1
3.91	28	5.2915	7.44996e-069	7.44996e-069	1.57422e-081	1
3.92	14	3.74166	1.675e-068	1.675e-068	3.47491e-081	1
3.94	24	4.89898	8.41667e-068	8.41667e-068	1.68491e-080	1
3.96	22	4.69042	4.19571e-067	4.19571e-067	8.11667e-080	1
3.97	30	5.47723	9.33988e-067	9.33988e-067	1.77712e-079	1
3.99	15	3.87298	4.60063e-066	4.60063e-066	8.47757e-079	1
4	17	4.12311	1.01802e-065	1.01802e-065	1.84708e-078	1
4.02	18	4.24264	4.95499e-065	4.95499e-065	8.72558e-078	1
4.04	25	5	2.39259e-064	2.39259e-064	4.09516e-077	1
4.05	12	3.4641	5.24183e-064	5.24183e-064	8.85009e-077	1
4.07	25	5	2.50103e-063	2.50103e-063	4.11318e-076	1
4.08	9	3	5.44676e-063	5.44676e-063	8.84566e-076	1
4.1	15	3.87298	2.56793e-062	2.56793e-062	4.07111e-075	1
4.11	15	3.87298	5.55915e-062	5.55915e-062	8.7125e-075	1
4.13	17	4.12311	2.58978e-061	2.58978e-061	3.97081e-074	1
4.15	27	5.19615	1.1969e-060	1.1969e-060	1.79798e-073	1
4.16	19	4.3589	2.56541e-060	2.56541e-060	3.81658e-073	1
4.18	23	4.79583	1.17155e-059	1.17155e-059	1.71133e-072	1
4.19	15	3.87298	2.49613e-059	2.49613e-059	3.61493e-072	1
4.21	17	4.12311	1.12637e-058	1.12637e-058	1.60513e-071	1
4.23	28	5.2915	5.04238e-058	5.04238e-058	7.08095e-071	1
4.24	17	4.12311	1.06369e-057	1.06369e-057	1.48361e-070	1
4.26	17	4.12311	4.70521e-057	4.70521e-057	6.48116e-070	1
4.27	19	4.3589	9.86652e-057	9.86652e-057	1.35132e-069	1
4.29	22	4.69042	4.31259e-056	4.31259e-056	5.84581e-069	1
4.3	7	2.64575	8.98933e-056	8.98933e-056	1.2129e-068	1
4.32	17	4.12311	3.8825e-055	3.8825e-055	5.19596e-068	1
4.34	15	3.87298	1.66355e-054	1.66355e-054	2.21143e-067	1
4.35	20	4.47214	3.4332e-054	3.4332e-054	4.5511e-067	1
4.37	13	3.60555	1.45356e-053	1.45356e-053	1.91813e-066	1
4.38	21	4.58258	2.98196e-053	2.98196e-053	3.92823e-066	1
4.4	18	4.24264	1.24751e-052	1.24751e-052	1.6395e-065	1
4.42	18	4.24264	5.1776e-052	5.1776e-052	6.79823e-065	1
4.43	12	3.4641	1.05165e-051	1.05165e-051	1.38094e-064	1
4.45	27	5.19615	4.31286e-051	4.31286e-051	5.67039e-064	1
4.46	19	4.3589	8.70793e-051	8.70793e-051	1.14622e-063	1
4.48	22	4.69042	3.52872e-050	3.52872e-050	4.66079e-063	1
4.49	19	4.3589	7.08226e-050	7.08226e-050	9.37547e-063	1
4.51	17	4.12311	2.83586e-049	2.83586e-049	3.77517e-062	1
4.53	21	4.58258	1.12652e-048	1.12652e-048	1.51025e-061	1
4.54	19	4.3589	2.23855e-048	2.23855e-048	3.0133e-061	1
4.56	13	3.60555	8.78675e-048	8.78675e-048	1.19373e-060	1
4.57	21	4.58258	1.73565e-047	1.73565e-047	2.37017e-060	1
4.59	19	4.3589	6.73185e-047	6.73185e-047	9.29816e-060	1
4.6	14	3.74166	1.32182e-046	1.32182e-046	1.83715e-059	1
4.62	18	4.24264	5.06589e-046	5.06589e-046	7.13701e-059	1
4.64	20	4.47214	1.92609e-045	1.92609e-045	2.75459e-058	1
4.65	18	4.24264	3.74447e-045	3.74447e-045	5.3984e-058	1
4.67	20	4.47214	1.40677e-044	1.40677e-044	2.06328e-057	1
4.68	13	3.60555	2.71857e-044	2.71857e-044	4.02387e-057	1
4.7	30	5.47723	1.00921e-043	1.00921e-043	1.52297e-056	1
4.72	12	3.4641	3.71676e-043	3.71676e-043	5.72673e-056	1
4.73	20	4.47214	7.11145e-043	7.11145e-043	1.10778e-055	1
4.75	16	4	2.58791e-042	2.58791e-042	4.12498e-055	1
4.76	19	4.3589	4.92207e-042	4.92207e-042	7.94043e-055	1
4.78	16	4	1.7699e-041	1.7699e-041	2.92797e-054	1
